url,image_url,brand,product,add_info,price_value,price_currency,discount_value,discount_code,country,retailer,scraped_at
https://www.notino.co.uk/nuk/teeth-dental-care-setfor-kids/,https://cdn.notinoimg.com/list_2k//nuk/4008600215769_01__210818.jpg,NUK,Teeth,dental care set(for children),5.9,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/signal/white-now-gold-toothpaste/,https://cdn.notinoimg.com/list_2k//signal/8720181327155_01-o__230411.jpg,Signal,White Now Gold,toothpaste 75 ml,3.7,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/marvis/ginger-mint-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111732_01-o__171120.jpg,Marvis,The Mints Ginger,toothpaste,2.7,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/blanx/black-whitening-toothpaste-with-activated-charcoal/,https://cdn.notinoimg.com/list_2k//blanx/8017331053386_01-o__210211.jpg,BlanX,Black,whitening toothpaste with activated charcoal 75 ml,3.4,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/beverly-hills-formula/perfect-white-black-whitening-toothpaste-with-activated-charcoal-for-fresh-breath/,https://cdn.notinoimg.com/list_2k//beverly-hills-formula/5020105002681_01-o__210917.jpg,Beverly Hills Formula,Perfect White Black,whitening toothpaste with activated charcoal for fresh breath flavour Fresh Mint 100 ml,6.5,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/splat/biomed-gum-health-organic-toothpaste/,https://cdn.notinoimg.com/list_2k//splat/2800015078395_01-o__220908.jpg,Splat,Biomed Gum Health,natural toothpaste 100 g,3.9,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/colgate/max-white-expert-micellar-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//colgate/8718951411043_01-o__221125.jpg,Colgate,Max White Expert Micellar,whitening toothpaste 75 ml,6.2,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/ecodenta/organic-kids-certified-organic-juicy-fruit-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001001400_01-o__211110.jpg,Ecodenta,Organic Kids Certified Organic Juicy Fruit,toothpaste for children 75 ml,4.5,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/splat/professional-medical-herbs-bio-active-toothpaste-for-protection-of-teeth-and-gums/,https://cdn.notinoimg.com/list_2k//splat/7640168930097_01-o__220908.jpg,Splat,Professional Medical Herbs,bioactive toothpaste for protection of teeth and gums 100 g,4.3,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/colgate/herbal-white-herbal-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//colgate/8714789098838_01-o__240229.jpg,Colgate,Herbal White,herbal toothpaste with whitening effect 75 ml,1.7,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/oral-b/professional-gum-intensive-care-bacteria-guard-herbal-toothpaste/,https://cdn.notinoimg.com/list_2k//oral-b/8001841182674_01-o__220701.jpg,Oral B,Professional Gum Intensive Care & Bacteria Guard,herbal toothpaste 75 ml,3.8,£,-20 % ,mix20,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/signal/integral-8-natural-elements-toothpaste/,https://cdn.notinoimg.com/list_2k//signal/8710447328095_01-o__221019.jpg,Signal,Integral 8 Natural Elements,toothpaste,1.9,£,,,uk,notino,2024-05-22 11:37:35.087116
